,Name,Team
0,Avery Bradley,Boston Celtics
1,Jae Crowder,Boston Celtics
2,John Holland,Boston Celtics
3,R.J. Hunter,Boston Celtics
4,Jonas Jerebko,Boston Celtics
5,Amir Johnson,Boston Celtics
6,Jordan Mickey,Boston Celtics
7,Kelly Olynyk,Boston Celtics
8,Terry Rozier,Boston Celtics
9,Marcus Smart,Boston Celtics
10,Jared Sullinger,Boston Celtics
11,Isaiah Thomas,Boston Celtics
12,Evan Turner,Boston Celtics
13,James Young,Boston Celtics
14,Tyler Zeller,Boston Celtics
15,Bojan Bogdanovic,Brooklyn Nets
16,Markel Brown,Brooklyn Nets
17,Wayne Ellington,Brooklyn Nets
18,Rondae Hollis-Jefferson,Brooklyn Nets
19,Jarrett Jack,Brooklyn Nets
20,Sergey Karasev,Brooklyn Nets
21,Sean Kilpatrick,Brooklyn Nets
22,Shane Larkin,Brooklyn Nets
23,Brook Lopez,Brooklyn Nets
24,Chris McCullough,Brooklyn Nets
25,Willie Reed,Brooklyn Nets
26,Thomas Robinson,Brooklyn Nets
27,Henry Sims,Brooklyn Nets
28,Donald Sloan,Brooklyn Nets
29,Thaddeus Young,Brooklyn Nets
30,Arron Afflalo,New York Knicks
31,Lou Amundson,New York Knicks
32,Thanasis Antetokounmpo,New York Knicks
33,Carmelo Anthony,New York Knicks
34,Jose Calderon,New York Knicks
35,Cleanthony Early,New York Knicks
36,Langston Galloway,New York Knicks
37,Jerian Grant,New York Knicks
38,Robin Lopez,New York Knicks
39,Kyle O'Quinn,New York Knicks
40,Kristaps Porzingis,New York Knicks
41,Kevin Seraphin,New York Knicks
42,Lance Thomas,New York Knicks
43,Sasha Vujacic,New York Knicks
44,Derrick Williams,New York Knicks
45,Tony Wroten,New York Knicks
46,Elton Brand,Philadelphia 76ers
47,Isaiah Canaan,Philadelphia 76ers
48,Robert Covington,Philadelphia 76ers
49,Joel Embiid,Philadelphia 76ers
50,Jerami Grant,Philadelphia 76ers
51,Richaun Holmes,Philadelphia 76ers
52,Carl Landry,Philadelphia 76ers
53,Kendall Marshall,Philadelphia 76ers
54,T.J. McConnell,Philadelphia 76ers
55,Nerlens Noel,Philadelphia 76ers
56,Jahlil Okafor,Philadelphia 76ers
57,Ish Smith,Philadelphia 76ers
58,Nik Stauskas,Philadelphia 76ers
59,Hollis Thompson,Philadelphia 76ers
60,Christian Wood,Philadelphia 76ers
61,Bismack Biyombo,Toronto Raptors
62,Bruno Caboclo,Toronto Raptors
63,DeMarre Carroll,Toronto Raptors
64,DeMar DeRozan,Toronto Raptors
65,James Johnson,Toronto Raptors
66,Cory Joseph,Toronto Raptors
67,Kyle Lowry,Toronto Raptors
68,Lucas Nogueira,Toronto Raptors
69,Patrick Patterson,Toronto Raptors
70,Norman Powell,Toronto Raptors
71,Terrence Ross,Toronto Raptors
72,Luis Scola,Toronto Raptors
73,Jason Thompson,Toronto Raptors
74,Jonas Valanciunas,Toronto Raptors
75,Delon Wright,Toronto Raptors
76,Leandro Barbosa,Golden State Warriors
77,Harrison Barnes,Golden State Warriors
78,Andrew Bogut,Golden State Warriors
79,Ian Clark,Golden State Warriors
80,Stephen Curry,Golden State Warriors
81,Festus Ezeli,Golden State Warriors
82,Draymond Green,Golden State Warriors
83,Andre Iguodala,Golden State Warriors
84,Shaun Livingston,Golden State Warriors
85,Kevon Looney,Golden State Warriors
86,James Michael McAdoo,Golden State Warriors
87,Brandon Rush,Golden State Warriors
88,Marreese Speights,Golden State Warriors
89,Klay Thompson,Golden State Warriors
